file_path,label
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.200\galaxy_fits_46170.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_56600.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.010\galaxy_fits_49218.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_3786.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.200\galaxy_fits_50486.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.010\galaxy_fits_92987.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_51237.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.100\galaxy_fits_67319.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.200\galaxy_fits_33342.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.100\galaxy_fits_47735.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.100\galaxy_fits_3371.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.200\galaxy_fits_53235.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.100\galaxy_fits_44118.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.100\galaxy_fits_41153.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_38698.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.200\galaxy_fits_20425.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.010\galaxy_fits_83848.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.100\galaxy_fits_59480.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.200\galaxy_fits_37103.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.100\galaxy_fits_95.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.100\galaxy_fits_21287.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.200\galaxy_fits_13357.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.200\galaxy_fits_24573.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.200\galaxy_fits_43450.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.200\galaxy_fits_54401.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.200\galaxy_fits_52291.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.100\galaxy_fits_31257.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.200\galaxy_fits_49043.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_zx_0.100\galaxy_fits_62821.fits,-1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.100\galaxy_fits_43137.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.010\galaxy_fits_60548.fits,1
D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_yz_0.200\galaxy_fits_28862.fits,-1
