,file_path,label
0,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_12909.fits,-1
1,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_14566.fits,1
2,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_19116.fits,1
3,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_20205.fits,1
4,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_20487.fits,1
5,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_20512.fits,-1
6,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_20549.fits,1
7,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_20584.fits,1
8,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_20813.fits,1
9,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_21498.fits,1
10,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_21500.fits,-1
11,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_21509.fits,1
12,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_22244.fits,1
13,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_22964.fits,1
14,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_23362.fits,1
15,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_23932.fits,1
16,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_23992.fits,-1
17,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_24834.fits,-1
18,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_26548.fits,-1
19,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_26675.fits,1
20,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_26777.fits,1
21,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_26881.fits,-1
22,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_28824.fits,-1
23,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_31212.fits,-1
24,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_33021.fits,1
25,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_35653.fits,1
26,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_36025.fits,-1
27,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_37796.fits,1
28,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_3786.fits,1
29,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_38648.fits,-1
30,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_38653.fits,1
31,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_38698.fits,1
32,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_38798.fits,1
33,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_39891.fits,1
34,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_40716.fits,-1
35,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_41029.fits,1
36,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_417.fits,-1
37,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_42880.fits,-1
38,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_45853.fits,-1
39,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_47890.fits,-1
40,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_48926.fits,-1
41,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_49924.fits,-1
42,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_51237.fits,1
43,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_51579.fits,-1
44,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_52141.fits,1
45,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_54049.fits,1
46,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_54707.fits,-1
47,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_55349.fits,1
48,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_55991.fits,-1
49,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_56043.fits,1
50,D:\study\senior_fall\thesis\pre_project\galaxy_figure\Nicola_fits\fits_xy_0.010\galaxy_fits_56600.fits,-1
